Company,Title,Track,Location,Region,Tier,Salary,Flags,Posted_Age,WorkModel,Source,URL
Airoha 達發科技 (MTK集團),數位IC設計工程師I (Ethernet SerDes RTL),RTL / ASIC Design,新竹,TW,Big Tech / Semi leader,,,,,agent:TW-sweep,https://www.104.com.tw/job/3lrdy
Amazon,"ASIC Engineer, Project Leo",RTL / ASIC Design,"Redmond, WA",US,Big Tech / Semi leader,,,May 08,On Site,jobright:ENG@hist,https://jobright.ai/jobs/info/69899fdf47434001cc67c1c7
Amazon,"ASIC Engineer, Project Leo",RTL / ASIC Design,"Austin, TX",US,Big Tech / Semi leader,,,May 07,On Site,jobright:ENG@hist,https://jobright.ai/jobs/info/6989a0e58ca8121a3a6be884
Amazon,"ASIC Engineer, Project Leo",RTL / ASIC Design,"San Diego, CA",US,Big Tech / Semi leader,,,May 06,On Site,jobright:ENG@hist,https://jobright.ai/jobs/info/6989a09647434001cc67c276
Amazon,"ASIC Engineer, Project Leo",RTL / ASIC Design,"Sunnyvale, CA",US,Big Tech / Semi leader,,,May 06,On Site,jobright:ENG@hist,https://jobright.ai/jobs/info/6989a04c0f6f7e7a2ce4a01b
Amazon (Annapurna Labs),"2026 Annapurna Labs at AWS, Early Career - Machine Learning Systems & Silicon Innovation",RTL / ASIC Design,US (see posting),US,Big Tech / Semi leader,,,verified Jun 10,,agent:US-direct,https://amazon.jobs/en/jobs/3175965/2026-annapurna-labs-at-aws-early-career-us-machine-learning-systems-silicon-innovation
AMD,Silicon Design Engineer (1 year contract),RTL / ASIC Design,"MARKHAM, ON, CA",US,Big Tech / Semi leader,,,May 16,On Site,jobright:ENG@hist,https://jobright.ai/jobs/info/6a084dfe6186f4685988704f
Apple,ASIC Design Engineer - Pixel IP DMA,RTL / ASIC Design,"Cupertino, California, United States",US,Big Tech / Semi leader,,,May 08,On Site,jobright:ENG@hist,https://jobright.ai/jobs/info/69fe47e96bcf315dc8f5661e
Apple,mmWave IC Design Engineer,RTL / ASIC Design,"Sunnyvale, California, United States",US,Big Tech / Semi leader,,,Apr 17,On Site,jobright:ENG@hist,https://jobright.ai/jobs/info/69e4bb2ee0cd471b2f12037b
Apple,"SoC Physical Design Engineer, STA/Timing",RTL / ASIC Design,"San Jose, California, United States",US,Big Tech / Semi leader,,,Apr 14,On Site,jobright:ENG@hist,https://jobright.ai/jobs/info/69dfe3165913ad33981463fe
Apple,ASIC Design and Integration Engineer - Silicon Security,RTL / ASIC Design,"Cupertino, CA",US,Big Tech / Semi leader,,,Apr 09,On Site,jobright:ENG@hist,https://jobright.ai/jobs/info/69d8b2a0869c7e25d8597606
Apple,STA Engineer,RTL / ASIC Design,"Cupertino, California, United States",US,Big Tech / Semi leader,,,Apr 09,On Site,jobright:SW@hist,https://jobright.ai/jobs/info/69d9de8f738f2f099e8a5655
Arm,Graduate Engineer - System IP,RTL / ASIC Design,"Austin, TX / Chandler, AZ",US,Big Tech / Semi leader,,,verified Jun 10,,agent:US-direct,https://careers.arm.com/job/austin/graduate-engineer-system-ip/33099/90386075120
ByteDance,ASIC Design Engineer Graduate (Video Silicon IP) - 2026 Start (BS/MS),RTL / ASIC Design,"San Jose, California, United States of America",US,Big Tech / Semi leader,,,May 21,On Site,jobright:ENG@hist,https://jobright.ai/jobs/info/6a0ec55d9f654b3359ce0eb2
Google,"ASIC RTL Design Engineer, PhD Graduate",RTL / ASIC Design,"Sunnyvale, CA",US,Big Tech / Semi leader,,,Apr 30,On Site,jobright:ENG@hist,https://jobright.ai/jobs/info/69f393da58b23a2329da5ff3
Google,"ASIC RTL Design and Automation Engineer, University Graduate",RTL / ASIC Design,"Sunnyvale, CA",US,Big Tech / Semi leader,,,Apr 14,On Site,jobright:ENG@hist,https://jobright.ai/jobs/info/6981050549964d25b5e3d2ca
Google,"RTL Design Engineer, TPU Chassis",RTL / ASIC Design,"Sunnyvale, CA",US,Big Tech / Semi leader,,,Apr 02,On Site,jobright:ENG@hist,https://jobright.ai/jobs/info/69cf180a366bb95ba5512a46
Google,"Silicon Engineer, University Graduate, 2026",RTL / ASIC Design,"Mountain View / Sunnyvale / San Diego, CA",US,Big Tech / Semi leader,,,verified Jun 10,,agent:US-direct,https://www.google.com/about/careers/applications/jobs/results/131079854375215814-silicon-engineer-university-graduate-2026
Google,"Silicon Engineer, Platform and Devices, University Graduate, 2026",RTL / ASIC Design,US (see posting),US,Big Tech / Semi leader,,,verified Jun 10,,agent:US-direct,https://www.google.com/about/careers/applications/jobs/results/73379279982731974-silicon-engineer-platform-and-devices-university-graduate-2026
Google,"Silicon RTL Design Engineer, PhD, Early Career",RTL / ASIC Design,US (see posting),US,Big Tech / Semi leader,,,verified Jun 10,,agent:US-direct,https://careers.google.com/jobs/results/110516264194974406-silicon-rtl-design-engineer/
Google,"Silicon Development Engineer, Frontend, PhD, University Graduate",RTL / ASIC Design,US (see posting),US,Big Tech / Semi leader,,,verified Jun 10,,agent:US-direct,https://www.google.com/about/careers/applications/jobs/results/108642933007098566-generalist-frontend-silicon-engineer-phd-university-graduate
Google,"Silicon Architecture/Design Engineer, PhD, Early Career",RTL / ASIC Design,US (see posting),US,Big Tech / Semi leader,,,verified Jun 10,,agent:US-direct,https://www.google.com/about/careers/applications/jobs/results/97617144908260038-silicon-architecturedesign-engineer-phd-early-career
Google,"Silicon Design Engineer, PhD, University Graduate",RTL / ASIC Design,US (see posting),US,Big Tech / Semi leader,,,verified Jun 10,,agent:US-direct,https://www.google.com/about/careers/applications/jobs/results/80513779611116230-silicon-design-engineer/
Google Taiwan,"Silicon Engineer, University Graduate, 2026 (Consumer HW Silicon/Tensor)",RTL / ASIC Design,New Taipei (Banqiao),TW,Big Tech / Semi leader,,,entry:UG 2026,,agent:TW-sweep,https://www.google.com/about/careers/applications/jobs/results/131079854375215814-silicon-engineer-university-graduate-2026
IBM,Entry Level Hardware and Systems Engineer,RTL / ASIC Design,US (see posting),US,Big Tech / Semi leader,,,verified Jun 10,,agent:US-direct,https://careers.ibm.com/en_US/careers/JobDetail/Entry-Level-Hardware-and-Systems-Engineer/73397
Intel,SOC Logic Design Engineer,RTL / ASIC Design,United States,US,Big Tech / Semi leader,,,Apr 16,Remote,jobright:ENG@hist,https://jobright.ai/jobs/info/69e0a84624cc5c251e9f4d71
Intel,SOC Logic Design Engineer,RTL / ASIC Design,Virtual US,US,Big Tech / Semi leader,,,Apr 15,Hybrid,jobright:ENG@hist,https://jobright.ai/jobs/info/69e0acb656ce9f5cfb85ba9f
Intel,CPU Core Physical Design Engineer,RTL / ASIC Design,"Folsom, CA",US,Big Tech / Semi leader,,,Apr 15,Hybrid,jobright:ENG@hist,https://jobright.ai/jobs/info/69dff067aba61f141731e556
Intel,CPU Core Physical Design Engineer,RTL / ASIC Design,"US, California, Folsom",US,Big Tech / Semi leader,,,Apr 15,Hybrid,jobright:ENG@hist,https://jobright.ai/jobs/info/69dfc28baba61f141731d447
Marvell Technology,RTL Design Engineer - Early Career,RTL / ASIC Design,"Westborough, MA",US,Big Tech / Semi leader,,,Jun 05,On Site,jobright:ENG,https://jobright.ai/jobs/info/69e00531433ac8430e0e3db1
MediaTek 聯發科,2026校招/研發替代役/應屆預聘正職_數位IC設計_Communication (MD/WiFi/SerDes),RTL / ASIC Design,新竹,TW,Big Tech / Semi leader,,,entry:2026應屆/研替/預聘,,agent:TW-sweep,https://careers.mediatek.com/eREC/JobSearch/JobDetail/MTK120250828037
MediaTek 聯發科,115年度校招/研發替代役/應屆預聘正職_數位IC設計_General IC design,RTL / ASIC Design,新竹市東區,TW,Big Tech / Semi leader,,,entry:2026應屆/研替/預聘,,agent:TW-sweep,https://www.1111.com.tw/job/132176374
MediaTek 聯發科,Wireless Communication System Digital IC Design Engineer,RTL / ASIC Design,新竹,TW,Big Tech / Semi leader,,,,,agent:TW-sweep,https://careers.mediatek.com/en/jobs/MTK120251208003
