Company,Title,Track,Location,Region,Tier,Salary,Flags,Posted_Age,WorkModel,Source,URL
Amazon (Annapurna Labs),"ASIC Design Verification Engineer, Annapurna Labs",Design Verification,US (see posting),US,Big Tech / Semi leader,,,verified Jun 10,,agent:US-direct,https://www.amazon.jobs/en/jobs/2929903/asic-design-verification-engineer-annapurna-labs
Amazon Web Services (AWS),"MLA IP Design Verification Engineer, Annapurna Labs",Design Verification,"Cupertino, CA",US,Big Tech / Semi leader,,,May 20,On Site,jobright:ENG@hist,https://jobright.ai/jobs/info/6a0dac8bbeb4d73cb622a7cd
AMD Taiwan,Silicon Design Verification Engineer,Design Verification,Taipei,TW,Big Tech / Semi leader,,,,,agent:TW-sweep,https://careers.amd.com/careers-home/jobs/76980
AMD Taiwan,ISP Silicon Design Verification Engineer (DV),Design Verification,Hsinchu,TW,Big Tech / Semi leader,,,,,agent:TW-sweep,https://careers.amd.com/careers-home/jobs/75350
AMD Taiwan,Design Verification Eng. (ISP),Design Verification,Hsinchu,TW,Big Tech / Semi leader,,,,,agent:TW-sweep,https://careers.amd.com/careers-home/jobs/69226
AMD Taiwan,ISP Silicon Design Verification Eng.,Design Verification,Hsinchu,TW,Big Tech / Semi leader,,,,,agent:TW-sweep,https://careers.amd.com/careers-home/jobs/71991
Analog Devices,Design Verification Engineer,Design Verification,"Wilmington, MA",US,Big Tech / Semi leader,,,Apr 16,On Site,jobright:ENG@hist,https://jobright.ai/jobs/info/69dfff7be34484770f1abf11
Analog Devices,Design Verification Engineer,Design Verification,"US, TX, Dallas, Tollway",US,Big Tech / Semi leader,,,Apr 15,On Site,jobright:ENG@hist,https://jobright.ai/jobs/info/69df9f7a5913ad3398144ae1
Analog Devices,Design Verification Engineer,Design Verification,"US, AZ, Chandler, East Elliot",US,Big Tech / Semi leader,,,Apr 15,On Site,jobright:ENG@hist,https://jobright.ai/jobs/info/69df9f7a433ac8430e0e1283
Apple,SoC Full Chip DV Engineer,Design Verification,"Cupertino, California, United States",US,Big Tech / Semi leader,,,Apr 10,On Site,jobright:ENG@hist,https://jobright.ai/jobs/info/69d9c5b9869c7e25d859d6b2
Apple,SoC Full Chip DV Engineer,Design Verification,"Austin, Texas, United States",US,Big Tech / Semi leader,,,Apr 10,On Site,jobright:ENG@hist,https://jobright.ai/jobs/info/69d9c5b7738f2f099e8a45aa
Apple,Design Verification Engineer,Design Verification,"Cupertino, California, United States",US,Big Tech / Semi leader,,,Apr 10,On Site,jobright:SW@hist,https://jobright.ai/jobs/info/69da2d85b67cec4f9b0a80c2
Apple,Design Verification Engineer,Design Verification,"Santa Clara, California, United States",US,Big Tech / Semi leader,,,Apr 10,On Site,jobright:SW@hist,https://jobright.ai/jobs/info/69da2fec9f97a42dc9c27a33
Apple,Design Verification Engineer,Design Verification,"San Diego, California, United States",US,Big Tech / Semi leader,,,Apr 10,On Site,jobright:SW@hist,https://jobright.ai/jobs/info/69da2feb5356a60f40fdfc64
Apple,Design Verification Engineer,Design Verification,"Seattle, Washington, United States",US,Big Tech / Semi leader,,,Apr 09,On Site,jobright:SW@hist,https://jobright.ai/jobs/info/69da2fe95356a60f40fdfc5a
Apple,Cellular SOC Design Verification Engineer - Entry Level,Design Verification,"Sunnyvale, CA",US,Big Tech / Semi leader,,,verified Jun 10,,agent:US-direct,https://jobs.apple.com/en-us/details/200575466/cellular-soc-design-verification-engineer-entry-level
Apple,Cellular SOC Design Verification Engineer - Entry Level,Design Verification,"Austin, TX",US,Big Tech / Semi leader,,,verified Jun 10,,agent:US-direct,https://jobs.apple.com/en-us/details/200573140/cellular-soc-design-verification-engineer-entry-level
Apple,Cellular SOC Design Verification Engineer - Entry Level,Design Verification,"San Diego, CA",US,Big Tech / Semi leader,,,verified Jun 10,,agent:US-direct,https://jobs.apple.com/en-us/details/200552149/cellular-soc-design-verification-engineer-entry-level
Apple,Cellular SOC Design Verification Engineer - Entry Level (HRDWR),Design Verification,US (see posting),US,Big Tech / Semi leader,,,verified Jun 10,,agent:US-direct,https://jobs.apple.com/en-us/details/200583670/cellular-soc-design-verification-engineer?team=HRDWR
Arm,Graduate Design Verification Engineer,Design Verification,"Austin, TX / Chandler, AZ",US,Big Tech / Semi leader,,,verified Jun 10,,agent:US-direct,https://careers.arm.com/job/austin/graduate-design-verification-engineer/33099/90386075120
Arm,Graduate Verification Engineer,Design Verification,"San Diego, CA",US,Big Tech / Semi leader,,,verified Jun 10,,agent:US-direct,https://careers.arm.com/job/san-diego/graduate-verification-engineer/33099/94822466496
Broadcom,ASIC Verification Engineer,Design Verification,"Irvine, CA",US,Big Tech / Semi leader,,,May 26,On Site,jobright:ENG@hist,https://jobright.ai/jobs/info/699469c6e0bddb6acac2d314
GlobalFoundries,Design Engineer Verification (2026 New College Graduate),Design Verification,"Richardson, TX",US,Big Tech / Semi leader,,,May 21,On Site,jobright:ENG@hist,https://jobright.ai/jobs/info/6a0f7c8783d7144289820d94
GlobalFoundries,Design Engineer Verification (2026 New College Graduate),Design Verification,"Richardson, US",US,Big Tech / Semi leader,,,May 21,On Site,jobright:ENG@hist,https://jobright.ai/jobs/info/6a0f6884619335383fb2c217
GlobalFoundries,SoC Design Verification Engineer (2026 New College Graduate),Design Verification,"Richardson, TX",US,Big Tech / Semi leader,,,Apr 24,On Site,jobright:ENG@hist,https://jobright.ai/jobs/info/69ebdc160a6e09555304ab9a
GlobalFoundries,SoC Design Verification Engineer (2026 New College Graduate),Design Verification,Richardson,US,Big Tech / Semi leader,,,Apr 10,On Site,jobright:ENG@hist,https://jobright.ai/jobs/info/69d936b0869c7e25d85997a5
Google,"Hardware Emulation Engineer, Google Cloud",Design Verification,"Sunnyvale, CA, USA",US,Big Tech / Semi leader,,,Jun 08,On Site,jobright:ENG,https://jobright.ai/jobs/info/6a26eec64ec8d737d6dfcb61
Google,"ASIC Design Verification Engineer, Google Cloud",Design Verification,"Sunnyvale, CA, USA",US,Big Tech / Semi leader,,,May 29,On Site,jobright:ENG@hist,https://jobright.ai/jobs/info/6a19a38b2b206f3955eaf4dc
Google,Silicon Design Verification Engineer,Design Verification,"Mountain View, CA",US,Big Tech / Semi leader,,,May 20,On Site,jobright:ENG@hist,https://jobright.ai/jobs/info/6a0d9a3f80bf0430c76248e3
Google,"Silicon Design Verification Engineer, University Graduate, 2026",Design Verification,US (see posting),US,Big Tech / Semi leader,,,verified Jun 10,,agent:US-direct,https://careers.google.com/jobs/results/107804897511908038-silicon-design-verification-engineer/
Google Taiwan,"Silicon Design Verification Engineer, University Graduate, 2026",Design Verification,New Taipei,TW,Big Tech / Semi leader,,,entry:UG 2026,,agent:TW-sweep,https://www.google.com/about/careers/applications/jobs/results/107804897511908038-silicon-design-verification-engineer-university-graduate-2026
Google Taiwan,"SoC Design Verification Engineer, Silicon",Design Verification,New Taipei (Banqiao),TW,Big Tech / Semi leader,,,,,agent:TW-sweep,https://www.google.com/about/careers/applications/jobs/results/124879091451994822-soc-design-verification-engineer/
Infineon Technologies,Graduate- Verification Methodology Engineer,Design Verification,"Lexington, KY",US,Big Tech / Semi leader,,,May 01,On Site,jobright:ENG@hist,https://jobright.ai/jobs/info/69f4c68843a25828a8d14902
Intel,IP Design Verification Engineer,Design Verification,"Hillsboro, OR",US,Big Tech / Semi leader,,,Jun 05,Hybrid,jobright:ENG,https://jobright.ai/jobs/info/6a2376654239a4353887e39f
Intel,IP Design Verification Engineer,Design Verification,"Boxborough, MA",US,Big Tech / Semi leader,,,Jun 05,Hybrid,jobright:ENG@hist,https://jobright.ai/jobs/info/6a23766114de9460dc844882
Intel,CPU Verification Engineer,Design Verification,"US, Texas, Austin, US",US,Big Tech / Semi leader,,,May 29,On Site,jobright:ENG@hist,https://jobright.ai/jobs/info/6a0681d26c07461fe1720ccc
Intel,CPU Verification Engineer,Design Verification,"US, Oregon, Hillsboro, US",US,Big Tech / Semi leader,,,May 29,On Site,jobright:ENG@hist,https://jobright.ai/jobs/info/6a0681d26c07461fe1720ccd
Intel,Junior CPU Design Verification Engineer,Design Verification,"Austin, TX",US,Big Tech / Semi leader,,,May 27,Hybrid,jobright:ENG@hist,https://jobright.ai/jobs/info/6a17a5a35b0a497d5210e1bd
Intel,Junior CPU Design Verification Engineer,Design Verification,"Hillsboro, OR",US,Big Tech / Semi leader,,,May 27,Hybrid,jobright:ENG@hist,https://jobright.ai/jobs/info/6a179a92b091c7417c5000f6
Intel,Junior CPU Design Verification Engineer,Design Verification,"US, Texas, Austin, US",US,Big Tech / Semi leader,,,May 27,Hybrid,jobright:ENG@hist,https://jobright.ai/jobs/info/6a1789c8b091c7417c4ff8f4
Intel,Junior CPU Design Verification Engineer,Design Verification,"US, Oregon, Hillsboro, US",US,Big Tech / Semi leader,,,May 27,Hybrid,jobright:ENG@hist,https://jobright.ai/jobs/info/6a1789bfb091c7417c4ff8e1
Intel,CPU Verification Engineer,Design Verification,"Austin, TX",US,Big Tech / Semi leader,,,May 27,On Site,jobright:ENG@hist,https://jobright.ai/jobs/info/6a174c709005d858e94f839f
Intel,CPU Design Verification Engineer,Design Verification,"Austin, TX",US,Big Tech / Semi leader,,,May 27,On Site,jobright:ENG@hist,https://jobright.ai/jobs/info/6a174c26d6a04f21602e529a
Intel,CPU Design Verification Engineer,Design Verification,"Hillsboro, OR",US,Big Tech / Semi leader,,,May 27,On Site,jobright:ENG@hist,https://jobright.ai/jobs/info/6a1746c9b091c7417c4fcc76
Intel,CPU Verification Engineer,Design Verification,"Hillsboro, OR",US,Big Tech / Semi leader,,,May 27,On Site,jobright:ENG@hist,https://jobright.ai/jobs/info/6a1746c51430333075ccf5c2
Intel,CPU Design Verification Engineer,Design Verification,"US, Texas, Austin, US",US,Big Tech / Semi leader,,,May 20,On Site,jobright:ENG@hist,https://jobright.ai/jobs/info/6a0e16ffbeb4d73cb622ec1e
Intel,CPU Design Verification Engineer,Design Verification,"US, Oregon, Hillsboro, US",US,Big Tech / Semi leader,,,May 20,On Site,jobright:ENG@hist,https://jobright.ai/jobs/info/6a0e16febeb4d73cb622ec19
Intel,SOC Design Verification Engineer,Design Verification,"US, Colorado, Fort Collins, US",US,Big Tech / Semi leader,,,May 11,Hybrid,jobright:ENG@hist,https://jobright.ai/jobs/info/6a02a0edf3d6cc51d636f252
Intel,IP Design Verification Engineer,Design Verification,"Santa Clara, CA",US,Big Tech / Semi leader,,,Apr 22,Hybrid,jobright:ENG@hist,https://jobright.ai/jobs/info/69dda26de34484770f19df56
Intel,CPU Formal Verification Engineer,Design Verification,"Phoenix, AZ",US,Big Tech / Semi leader,,,May 27,Hybrid,jobright:SW@hist,https://jobright.ai/jobs/info/6a17986881fe455c705aa4da
Intel,CPU Formal Verification Engineer,Design Verification,"Hillsboro, OR",US,Big Tech / Semi leader,,,May 27,Hybrid,jobright:SW@hist,https://jobright.ai/jobs/info/6a1798571430333075cd28da
Intel,CPU Formal Verification Engineer,Design Verification,"Folsom, CA",US,Big Tech / Semi leader,,,May 27,Hybrid,jobright:SW@hist,https://jobright.ai/jobs/info/6a174b37b091c7417c4fce28
Intel,CPU Formal Verification Engineer,Design Verification,"Austin, TX",US,Big Tech / Semi leader,,,May 27,Hybrid,jobright:SW@hist,https://jobright.ai/jobs/info/6a1746971430333075ccf5aa
Marvell Technology,Design Verification Engineer - Early Career,Design Verification,"Santa Clara, CA, US",US,Big Tech / Semi leader,,,Jun 08,On Site,jobright:ENG,https://jobright.ai/jobs/info/6a1a60ee2b206f3955eb44fb
Marvell Technology,Design Verification Engineer - Early Career,Design Verification,"Irvine, CA, US",US,Big Tech / Semi leader,,,Jun 08,On Site,jobright:ENG,https://jobright.ai/jobs/info/6a1a60f12b206f3955eb44fc
Marvell Technology,Design Verification Engineer - Early Career,Design Verification,"Westborough, MA",US,Big Tech / Semi leader,,,Apr 15,On Site,jobright:ENG@hist,https://jobright.ai/jobs/info/69e0069a14bf245fc7a6f8cd
MediaTek 聯發科,115年度校招/研發替代役/應屆預聘正職_數位IC設計_Design Verification,Design Verification,新竹市東區,TW,Big Tech / Semi leader,,,entry:2026應屆/研替/預聘,,agent:TW-sweep,https://www.1111.com.tw/job/132176467
MediaTek 聯發科,Design Verification Engineer (CDG: smartphone/TV/ASIC DV),Design Verification,新竹,TW,Big Tech / Semi leader,,,,,agent:TW-sweep,https://careers.mediatek.com/eREC/JobSearch/JobDetail/MTK120190311003
MediaTek 聯發科,數位驗證流程開發/類比RF行為模型 (Verilog) 工程師 — 經歷不拘 (大學以上),Design Verification,新竹,TW,Big Tech / Semi leader,,,entry:經歷不拘 (大學以上),,agent:TW-sweep,https://www.104.com.tw/company/12noppgo
Meta,"ASIC Engineer, Design Verification (University Grad)",Design Verification,US (see posting),US,Big Tech / Semi leader,,,verified Jun 10,,agent:US-direct,https://www.metacareers.com/jobs/1146919463598484
Micron,"New College Grad - Design and Verification Engineer, Pathfinding",Design Verification,"Folsom, CA",US,Big Tech / Semi leader,,,verified Jun 10,,agent:US-direct,"https://www.glassdoor.com/job-listing/new-college-grad-design-and-verification-engineer-pathfinding-micron-technology-JV_IC1147188_KO0,61_KE62,79.htm?jl=1010095368918"
Micron Technology,"New College Grad - Design and Verification Engineer, Pathfinding",Design Verification,"Folsom, CA",US,Big Tech / Semi leader,,,Apr 09,On Site,jobright:ENG@hist,https://jobright.ai/jobs/info/69d7b344b861c42857c449c1
Micron Technology,"New College Grad - Design and Verification Engineer, Pathfinding",Design Verification,"San Jose, CA",US,Big Tech / Semi leader,,,Apr 08,On Site,jobright:ENG@hist,https://jobright.ai/jobs/info/69d6935952a5bf580012992b
Micron Technology,"New College Grad - Design and Verification Engineer, Pathfinding",Design Verification,"Boise, ID - Main Site",US,Big Tech / Semi leader,,,Apr 08,On Site,jobright:ENG@hist,https://jobright.ai/jobs/info/69d69352cfdc6132f946abd5
Micron Technology,"Design and Verification Engineer, Pathfinding",Design Verification,"Boise, ID",US,Big Tech / Semi leader,,,May 01,On Site,jobright:SW@hist,https://jobright.ai/jobs/info/69f48620a3d34b4f76f4f688
NVIDIA,Formal Verification Engineer - New College Grad 2026,Design Verification,"US, CA, Santa Clara",US,Big Tech / Semi leader,,,Jun 08,On Site,jobright:SW,https://jobright.ai/jobs/info/6999c09c81476f6176b283db
NVIDIA,Formal Verification Engineer - New College Grad 2026,Design Verification,"US, TX, Austin",US,Big Tech / Semi leader,,,Jun 08,On Site,jobright:SW,https://jobright.ai/jobs/info/6999bfa0ce78e77b4fdeabfc
NVIDIA,New Grad 2026: Formal Verification Engineer,Design Verification,"Austin, TXSanta Clara, CA",US,Big Tech / Semi leader,,,Feb 15,,vansh,https://nvidia.wd5.myworkdayjobs.com/en-US/nvidiaexternalcareersite/job/Formal-Verification-Engineer---New-College-Grad-2026_JR2013065
NVIDIA,ASIC Verification Engineer - New College Grad 2026,Design Verification,"Hillsboro, OR",US,Big Tech / Semi leader,,,May 28,On Site,jobright:ENG@hist,https://jobright.ai/jobs/info/69e02f0fe34484770f1ad161
NVIDIA,Verification and Validation Engineer - New College Grad 2026,Design Verification,"Austin, TX",US,Big Tech / Semi leader,,,May 22,On Site,jobright:ENG@hist,https://jobright.ai/jobs/info/6a11125569bd827926af23ff
NVIDIA,Cell Modeling and Verification Engineer - New College Grad 2026,Design Verification,"Santa Clara, CA",US,Big Tech / Semi leader,,,May 21,On Site,jobright:ENG@hist,https://jobright.ai/jobs/info/69d56018706f771673ba2846
NVIDIA,ASIC Design Verification Engineer - New College Grad 2026,Design Verification,"Austin, TX",US,Big Tech / Semi leader,,,May 21,On Site,jobright:ENG@hist,https://jobright.ai/jobs/info/69ea51124b0fa35a707735ee
NVIDIA,ASIC Clocks Verification Engineer - New College Grad 2026,Design Verification,"Santa Clara, CA",US,Big Tech / Semi leader,,,May 20,Hybrid,jobright:ENG@hist,https://jobright.ai/jobs/info/69ea6be87820c036924ed913
NVIDIA,SoC ASIC Verification Engineer – New College Grad 2026,Design Verification,"Santa Clara, CA",US,Big Tech / Semi leader,,,May 20,On Site,jobright:ENG@hist,https://jobright.ai/jobs/info/69d5600b706f771673ba280f
NVIDIA,ASIC Verification Engineer - New College Grad 2026,Design Verification,"Santa Clara, CA",US,Big Tech / Semi leader,,,May 16,On Site,jobright:ENG@hist,https://jobright.ai/jobs/info/69ec11d57820c036924f8f84
NVIDIA,ASIC Verification Engineer - New College Grad 2026,Design Verification,"Austin, TX",US,Big Tech / Semi leader,,,May 16,On Site,jobright:ENG@hist,https://jobright.ai/jobs/info/69ec179f0a6e09555304c62c
NVIDIA,GPU Verification Engineer - New College Grad 2026,Design Verification,"US, MA, Westford, US",US,Big Tech / Semi leader,,,May 07,On Site,jobright:ENG@hist,https://jobright.ai/jobs/info/69fd2c90432a3c4da8e0204b
NVIDIA,ASIC Verification Engineer - New College Grad 2026,Design Verification,"Madison, AL",US,Big Tech / Semi leader,,,May 07,On Site,jobright:ENG@hist,https://jobright.ai/jobs/info/69e02da45913ad33981484ab
NVIDIA,Verification Engineer - New College Grad 2026,Design Verification,"Santa Clara, CA",US,Big Tech / Semi leader,,,May 06,On Site,jobright:ENG@hist,https://jobright.ai/jobs/info/69fbeed73160b250eb1ba431
NVIDIA,Verification Engineer - New College Grad 2026,Design Verification,"Austin, TX",US,Big Tech / Semi leader,,,May 06,On Site,jobright:ENG@hist,https://jobright.ai/jobs/info/69fbee8b3802c7621fd8e14c
NVIDIA,Verification Engineer - New College Grad 2026,Design Verification,"Westford, MA",US,Big Tech / Semi leader,,,May 06,On Site,jobright:ENG@hist,https://jobright.ai/jobs/info/69fbee58a5949019c55b1893
NVIDIA,ASIC Verification Engineer - New College Grad 2026,Design Verification,"Durham, NC",US,Big Tech / Semi leader,,,Apr 15,On Site,jobright:ENG@hist,https://jobright.ai/jobs/info/69e02a7daba61f141731fd13
NVIDIA,"Compiler Verification Engineer, Compute Performance – GPU- New College Grad 2026",Design Verification,"Austin, TX",US,Big Tech / Semi leader,,,May 06,On Site,jobright:SW@hist,https://jobright.ai/jobs/info/69dee5695913ad33981409b2
NVIDIA,"Compiler Verification Engineer, Compute Performance – GPU- New College Grad 2026",Design Verification,"Santa Clara, CA",US,Big Tech / Semi leader,,,May 06,On Site,jobright:SW@hist,https://jobright.ai/jobs/info/69ded9fe433ac8430e0dcd1a
