Company,Title,Track,Location,Region,Tier,Salary,Flags,Posted_Age,WorkModel,Source,URL,Link_Check
Amazon (Annapurna Labs),"ASIC DFT Engineer I, Annapurna Labs",DFT / Silicon Test,US (see posting),US,Big Tech / Semi leader,,,verified Jun 10,,agent:US-direct,https://amazon.jobs/en/jobs/3023122/asic-dft-engineer-i-annapurna-labs,search-verified 2026-06-10 (amazon.jobs Job ID 3023122)
Amazon (AWS),"DFT Design Engineer I, AWS Machine Learning Acceleration",DFT / Silicon Test,US (see posting),US,Big Tech / Semi leader,,,verified Jun 10,,agent:US-direct,https://www.amazon.jobs/en/jobs/3150211/dft-design-engineer-i-aws-machine-learning-acceleration,search-verified 2026-06-10 (amazon.jobs Job ID 3150211)
Marvell Technology,Design for Test Engineer - Early Career,DFT / Silicon Test,"Westborough, MA",US,Big Tech / Semi leader,,,Jun 05,On Site,jobright:ENG,https://jobright.ai/jobs/info/6a0699857c753c287f704645,listed<=7d jobright 2026-06-10
MediaTek 聯發科,"數位IC設計/Synthesis, DFT工程師 (3~7nm implementation) — 經歷不拘 (碩士)",DFT / Silicon Test,新竹縣竹北市,TW,Big Tech / Semi leader,,,entry:經歷不拘 (碩士),,agent:TW-sweep,https://m.104.com.tw/job/6me2q,search-verified 2026-06-10 (104 6me2q indexed with title)
NVIDIA,DFT Engineer - New College Grad,DFT / Silicon Test,"Santa Clara, CA",US,Big Tech / Semi leader,,,verified Jun 10,,agent:US-direct,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/DFT-Engineer---New-College-Grad_JR2016865,search-verified 2026-06-10 (Workday title+JR2016865 match)
NVIDIA Taiwan,DFX Engineer - New College Graduate,DFT / Silicon Test,Taipei,TW,Big Tech / Semi leader,,,entry:new grad,,agent:TW-sweep,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/Taiwan-Taipei/DFX-Engineer---New-College-Graduate_JR1956623-1,search-verified 2026-06-10 (Workday JR1956623 indexed)
NVIDIA Taiwan,DFT Engineer - New College Grad (Scan/ATPG/BIST/JTAG),DFT / Silicon Test,Taipei/Hsinchu,TW,Big Tech / Semi leader,,,entry:new grad,,agent:TW-sweep,https://jobs.nvidia.com/careers/job/893394773734,search-verified 2026-06-10 (official NVIDIA site lists same title)
Qualcomm,System Level Test Engineer,DFT / Silicon Test,"San Diego, CA",US,Big Tech / Semi leader,,,Jun 09,On Site,jobright:ENG,https://jobright.ai/jobs/info/6a281e011dbd8437bebc8c0c,listed<=7d jobright 2026-06-10
SpaceX,Hardware Test Engineer (Starlink),DFT / Silicon Test,"Redmond, WA",US,Big Tech / Semi leader,,us-person-likely,Jun 03,On Site,jobright:ENG,https://jobright.ai/jobs/info/6a20f9783a5f0145f4c17b5c,listed<=7d jobright 2026-06-10
Astera Labs,Product Applications Engineer (NCG 2026),Silicon Validation,"San Jose, CA",US,Big Tech / Semi leader,,,verified Jun 10,,agent:US-direct,https://job-boards.greenhouse.io/asteraearlycareer2026/jobs/4597010005,search-verified 2026-06-10 (Greenhouse ID 4597010005 San Jose)
Astera Labs,"Product Applications Engineer (NCG 2026, Aries)",Silicon Validation,US (see posting),US,Big Tech / Semi leader,,,verified Jun 10,,agent:US-direct,https://job-boards.greenhouse.io/asteralabs/jobs/4597481005,search-verified 2026-06-10 (Greenhouse ID 4597481005 Aries)
Credo,Hardware Validation Engineer,Silicon Validation,"San Jose Office,United States",US,Big Tech / Semi leader,,,Jun 04,On Site,jobright:ENG,https://jobright.ai/jobs/info/6a2204f1902d19201c7bbb7f,listed<=7d jobright 2026-06-10
Google,"Hardware Validation Engineer, Cloud Platforms",Silicon Validation,"Sunnyvale, CA, USA",US,Big Tech / Semi leader,,,Jun 09,On Site,jobright:SW,https://jobright.ai/jobs/info/6a28076d1dbd8437bebc84ff,listed<=7d jobright 2026-06-10
Google,"Silicon Engineer, University Graduate, 2026 (performance validation)",Silicon Validation,US (see posting),US,Big Tech / Semi leader,,,verified Jun 10,,agent:US-direct,https://www.google.com/about/careers/applications/jobs/results/118693575373267654-silicon-engineer/,search-verified 2026-06-10 (live on canonical URL)
Marvell,Hardware Validation Engineer - Early Career,Silicon Validation,US (see posting),US,Big Tech / Semi leader,,,verified Jun 10,,agent:US-direct,https://marvell.wd1.myworkdayjobs.com/en-US/MarvellCareers/job/Hardware-Validation-Engineer---Early-Career_2600860,search-verified 2026-06-10 (Marvell Workday req 2600860)
Marvell Technology,Hardware & Silicon Validation Engineer - Early Career,Silicon Validation,"Westlake Village, CA",US,Big Tech / Semi leader,,,Jun 06,On Site,jobright:ENG,https://jobright.ai/jobs/info/6a24365a4239a4353888003d,listed<=7d jobright 2026-06-10
Marvell Technology,Validation Engineer - Early Career,Silicon Validation,"Santa Clara, CA, US",US,Big Tech / Semi leader,,,Jun 05,On Site,jobright:ENG,https://jobright.ai/jobs/info/6a2365c1757ade085b6ae0aa,listed<=7d jobright 2026-06-10
Marvell Technology,Hardware Validation (Test Solutions) Engineer,Silicon Validation,"Burlington, VT",US,Big Tech / Semi leader,,,Jun 05,On Site,jobright:ENG,https://jobright.ai/jobs/info/6a0699b3bc4184089f25090e,listed<=7d jobright 2026-06-10
Micron,New College Grad - Semiconductor Product Engineer,Silicon Validation,US (see posting),US,Big Tech / Semi leader,,,verified Jun 10,,agent:US-direct,https://micron.wd1.myworkdayjobs.com/en-US/External/job/New-College-Grad---Semiconductor-Product-Engineer_JR94516,search-verified 2026-06-10 (Workday JR94516 live)
