Company,Title,Track,Location,Region,Tier,Salary,Flags,Posted_Age,WorkModel,Source,URL,Link_Check
Adobe,Software Development Engineer,Software,"San Jose, CA",US,Big Tech / Semi leader,,,Jun 05,On Site,jobright:SW,https://jobright.ai/jobs/info/69cc6560e1921223acc75aab,listed<=7d jobright 2026-06-10
Adobe,Junior Software Development Engineer,Software,San Jose,US,Big Tech / Semi leader,$168k/yr,,37d,,speedy:FAANG,https://adobe.wd5.myworkdayjobs.com/en-US/external_experienced/job/San-Jose/Junior-Software-Development-Engineer_R168092,list-bot-verified 2026-06-10
Airbnb,iOS Software Engineer - Airbnb - New Grad,Software,"San Francisco, CA, Seattle, WA",US,Big Tech / Semi leader,$183k/yr,,43d,,speedy:FAANG,https://careers.airbnb.com/positions/7859317?gh_jid=7859317,list-bot-verified 2026-06-10
All Metals Processing of Orange County,#1731 / Junior Software Developer,Software,"EMBEE, Santa Ana, CA, US",US,Big Tech / Semi leader,,,Jun 10,On Site,jobright:SW,https://jobright.ai/jobs/info/6a2990500c4972328e7e42fa,listed<=7d jobright 2026-06-10
Amazon,Robotics - Software Development Engineer,Software,"Sunnyvale, California, USA",US,Big Tech / Semi leader,,,Jun 10,On Site,jobright:ENG,https://jobright.ai/jobs/info/6a0842566186f4685988692b,listed<=7d jobright 2026-06-10
Amazon,Robotics - Software Development Engineer,Software,"North Reading, Massachusetts, USA",US,Big Tech / Semi leader,,,Jun 10,On Site,jobright:ENG,https://jobright.ai/jobs/info/6a13e7a212f8b43cf3990e1b,listed<=7d jobright 2026-06-10
Amazon,"Data Engineer, Ads Science Analysis & Tech (ASAT)",Software,"New York, United States",US,Big Tech / Semi leader,,,Jun 09,On Site,jobright:ENG,https://jobright.ai/jobs/info/6a28b97a1dbd8437bebcce79,listed<=7d jobright 2026-06-10
Amazon,"Data Engineer, Ads Science Analysis & Tech (ASAT)",Software,"Palo Alto, CA",US,Big Tech / Semi leader,,,Jun 09,On Site,jobright:ENG,https://jobright.ai/jobs/info/6a28aa822d6c332ee52e77b7,listed<=7d jobright 2026-06-10
Amazon,"Data Engineer, Ads Science Analysis & Tech (ASAT)",Software,"Seattle, WA",US,Big Tech / Semi leader,,,Jun 09,On Site,jobright:ENG,https://jobright.ai/jobs/info/6a28aa3d7061b51a3a5f7315,listed<=7d jobright 2026-06-10
Amazon,"Data Engineer, Ads Science Analysis & Tech (ASAT)",Software,"Seattle, Washington, USA",US,Big Tech / Semi leader,,,Jun 09,On Site,jobright:ENG,https://jobright.ai/jobs/info/6a2856e0883c0d3be6541471,listed<=7d jobright 2026-06-10
Amazon,"Data Engineer, Ads Science Analysis & Tech (ASAT)",Software,"Palo Alto, California, USA",US,Big Tech / Semi leader,,,Jun 09,On Site,jobright:ENG,https://jobright.ai/jobs/info/6a2856df883c0d3be6541470,listed<=7d jobright 2026-06-10
