Company,Title,Track,Location,Region,Tier,Salary,Flags,Posted_Age,WorkModel,Source,URL
Airoha 達發科技 (MTK集團),數位IC設計工程師I (Ethernet SerDes RTL),RTL / ASIC Design,新竹,TW,Big Tech / Semi leader,,,,,agent:TW-sweep,https://www.104.com.tw/job/3lrdy
Google Taiwan,"Silicon Engineer, University Graduate, 2026 (Consumer HW Silicon/Tensor)",RTL / ASIC Design,New Taipei (Banqiao),TW,Big Tech / Semi leader,,,entry:UG 2026,,agent:TW-sweep,https://www.google.com/about/careers/applications/jobs/results/131079854375215814-silicon-engineer-university-graduate-2026
MediaTek 聯發科,2026校招/研發替代役/應屆預聘正職_數位IC設計_Communication (MD/WiFi/SerDes),RTL / ASIC Design,新竹,TW,Big Tech / Semi leader,,,entry:2026應屆/研替/預聘,,agent:TW-sweep,https://careers.mediatek.com/eREC/JobSearch/JobDetail/MTK120250828037
MediaTek 聯發科,115年度校招/研發替代役/應屆預聘正職_數位IC設計_General IC design,RTL / ASIC Design,新竹市東區,TW,Big Tech / Semi leader,,,entry:2026應屆/研替/預聘,,agent:TW-sweep,https://www.1111.com.tw/job/132176374
MediaTek 聯發科,Wireless Communication System Digital IC Design Engineer,RTL / ASIC Design,新竹,TW,Big Tech / Semi leader,,,,,agent:TW-sweep,https://careers.mediatek.com/en/jobs/MTK120251208003
MediaTek 聯發科,數位IC設計工程師 (數位相機/影像處理器),RTL / ASIC Design,新竹,TW,Big Tech / Semi leader,,,,,agent:TW-sweep,https://careers.mediatek.com/zh-tw/jobs/MTK120260417009
Qualcomm Taiwan,CPU RTL Design Engineer,RTL / ASIC Design,Hsinchu,TW,Big Tech / Semi leader,,,,,agent:TW-sweep,https://careers.qualcomm.com/careers/job/446705813123-cpu-rtl-design-engineer-hsinchu-city-hsinchu-city-taiwan
Synopsys Taiwan,ASIC Digital Design Engineer (frontend design/verification) — 0-3 yrs (MS EE/CS),RTL / ASIC Design,Hsinchu,TW,Big Tech / Semi leader,,,entry:0-3 yrs (MS EE/CS),,agent:TW-sweep,https://careers.synopsys.com/job/hsinchu/asic-digital-design-engineer-sr-engineer/44408/70723117808
TSMC 台積電,【2026 Campus Recruitment】Design and Technology Platform Engineer (DTP: RTL/synthesis/DFT/APR),RTL / ASIC Design,新竹,TW,Big Tech / Semi leader,,,entry:2026 應屆 new grad,,agent:TW-sweep,https://careers.tsmc.com/zh_TW/careers/JobDetail/2026-TSMC-Campus-Recruitment-Design-and-Technology-Platform-Engineer-DTP/19034
TSMC 台積電,【2026 RDSS&AO】Design and Technology Platform Engineer (DTP),RTL / ASIC Design,新竹,TW,Big Tech / Semi leader,,,entry:研發替代役/預聘 應屆,,agent:TW-sweep,https://careers.tsmc.com/zh_TW/careers/JobDetail/2026-TSMC-RDSS-AO-Design-and-Technology-Platform-Engineer-DTP/16566
